dataset id,dataset name,total views,recent views (last 2 weeks)
b8821c1d-1172-486a-90e8-c6c75c7fcdd1,comparacion-de-gasto-2014-2021,99,42
148cda97-2841-4aef-9357-ee89b1c9a136,proyecto-ley-de-presupuesto-publico-2022,89,59
c3550f2f-41cc-44b9-8bcf-10017d3ccf68,presupuesto-y-ejecucion-de-gasto-2021,85,35
f43d5bf0-3ace-4cd6-8284-7d6f8a0ae8f4,ley-de-presupuesto-publico-2021,84,44
99e33fa1-3e8c-4096-9ab8-0a64d356347b,estado-de-gestion-2011-2019,80,52
02c53c34-ccf9-45bb-b39f-cd15bf90985f,detalle-de-inversiones-2001-2021,76,28
45a2c9ef-3581-4211-8223-f52bb8d0bd29,presupuesto-y-ejecucion-de-ingreso-2021,72,21
265687c4-c3d9-4b78-9ae6-94667b61d76d,comparacion-de-ingreso-2014-2021,67,20
524d242a-7e32-4f58-993c-302100c26cf1,presupuesto-y-ejecucion-de-gasto-2020,51,12
38833483-f0b4-447e-976c-1b3afe4b6f6b,presupuesto-y-ejecucion-de-ingreso-2020,47,11
6c8b8e79-426a-4da7-968a-777b56d9c596,presupuesto-y-ejecucion-de-gasto-2014,47,17
27eba082-0ee1-43a3-9605-e2f7619aa4d8,formato-12b-de-de-inversiones-2003-2021,46,9
e4c9c8a8-4a82-41d9-b986-c61c496063e4,estado-de-situacion-financiera-2011-2019,45,17
8cecc7cb-d06c-4558-b21e-a92820d96dd8,instrumentos-de-deuda-de-largo-plazo-2010-2021,44,6
65ebec67-1ded-472a-a3e1-21c45f8dc45a,presupuesto-y-ejecucion-de-ingreso-2015,41,6
7ab369d4-52ea-450a-b34d-c275df4c7dd5,estado-de-ejecucion-del-gasto-publico-2011-2019,40,18
63e5d1bc-bbb6-415b-8408-d80d5dbf353b,clasificacion-funcional-del-gasto-2011-2019,37,19
a8037458-f706-4150-a4d3-a7f444049b28,estado-de-fuentes-y-uso-de-fondos-2011-2019,37,4
3fef451f-3ccd-4272-b388-52c7005993ac,estado-situacional-de-inversiones-2017-2021,37,13
1604ae16-6bce-4204-ad55-7554b0b50061,presupuesto-y-ejecucion-de-ingreso-2017,35,7
09756de3-67b7-4151-b6bc-0da6715c9800,presupuesto-y-ejecucion-de-gasto-2019,34,11
7eb8da54-55b0-433b-94fc-247a5a20a3dd,proceso-de-seleccion-de-inversiones-2007-2021,33,11
61605546-7b2f-4ddd-b5e0-c303ac3b4d72,balance-constructivo-de-empresas-del-estado-2015-2019,32,3
8aa2fa21-cec3-4749-8cc1-06d389fb33b1,indices-soberanos-2010-2021,32,8
1bc75bf2-577d-45f9-90f4-a90a85940f5b,estado-de-flujo-de-efectivo-2011-2019,30,10
a68fe8b7-d699-43d6-9ac2-b02dbcbbdac0,distribucion-geografica-del-gasto-2011-2019,30,8
06563065-cde1-468b-afdd-8d8f93ac5f9f,presupuesto-y-ejecucion-de-gasto-2015,28,9
ca077f33-1611-457c-aab8-4b727b13a798,balance-constructivo-de-gobierno-nacional-regionales-y-locales-2015-2019,27,14
5a5397ea-dae6-472b-9d50-f63019e2f276,estado-de-ejecucion-del-ingreso-publico-2011-2019,26,8
13e229f0-3144-477a-a9e2-f4f5c339d6fe,presupuesto-y-ejecucion-de-ingreso-2016,26,7
efed0891-3f6b-463d-95bd-3a13902cd9a9,instrumentos-de-deuda-de-corto-plazo-2015-2020,24,4
db4cc8c3-38ec-4cc2-a52a-d0dac398514c,estado-de-cambios-en-el-patrimonio-neto-2011-2019,19,7
41892cb4-976c-4422-97d8-de88fb340ea1,presupuesto-y-ejecucion-de-gasto-2018,19,9
39e16cd5-d3ec-465a-8404-d4494d251956,presupuesto-y-ejecucion-de-ingreso-2014,18,2
d58c07b1-8d13-463d-97ea-9fd914dc1436,presupuesto-y-ejecucion-de-ingreso-2018,18,3
9c85ac41-d325-42c6-a7ae-ad85076c4226,presupuesto-y-ejecucion-de-ingreso-2019,15,0
bcdbd09e-4877-4b12-b04b-9bed09855fc7,presupuesto-y-ejecucion-de-gasto-2016,15,4
591ff202-a9d0-4786-a6ee-864aa7fae648,presupuesto-y-ejecucion-de-gasto-2017,11,2
481cb0a7-aea6-4e96-a181-77a02ade7f4a,presupuesto-publico-2021,4,0
ea676ebc-31ba-4e1f-ab4b-41d2a1f7bdd8,ley-presupuesto-publico-2021,4,0
ca9257d8-c745-4ad8-b3d1-46190d4eb839,prueba-1,1,0
f9ce4534-bfc9-42d1-bbdb-a587d5bb4d43,aaaaaaa,0,0
