dataset id,dataset name,total views,recent views (last 2 weeks)
45a2c9ef-3581-4211-8223-f52bb8d0bd29,presupuesto-y-ejecucion-de-ingreso-2021,13,13
265687c4-c3d9-4b78-9ae6-94667b61d76d,comparacion-de-ingreso-2014-2021,11,11
c3550f2f-41cc-44b9-8bcf-10017d3ccf68,presupuesto-y-ejecucion-de-gasto-2021,11,11
8cecc7cb-d06c-4558-b21e-a92820d96dd8,instrumentos-de-deuda-de-largo-plazo-2010-2021,11,11
b8821c1d-1172-486a-90e8-c6c75c7fcdd1,comparacion-de-gasto-2014-2021,8,8
a8037458-f706-4150-a4d3-a7f444049b28,estado-de-fuentes-y-uso-de-fondos-2011-2019,7,7
65ebec67-1ded-472a-a3e1-21c45f8dc45a,presupuesto-y-ejecucion-de-ingreso-2015,6,6
38833483-f0b4-447e-976c-1b3afe4b6f6b,presupuesto-y-ejecucion-de-ingreso-2020,5,5
524d242a-7e32-4f58-993c-302100c26cf1,presupuesto-y-ejecucion-de-gasto-2020,5,5
13e229f0-3144-477a-a9e2-f4f5c339d6fe,presupuesto-y-ejecucion-de-ingreso-2016,5,5
6c8b8e79-426a-4da7-968a-777b56d9c596,presupuesto-y-ejecucion-de-gasto-2014,4,4
39e16cd5-d3ec-465a-8404-d4494d251956,presupuesto-y-ejecucion-de-ingreso-2014,4,4
1604ae16-6bce-4204-ad55-7554b0b50061,presupuesto-y-ejecucion-de-ingreso-2017,4,4
8aa2fa21-cec3-4749-8cc1-06d389fb33b1,indices-soberanos-2010-2021,3,3
06563065-cde1-468b-afdd-8d8f93ac5f9f,presupuesto-y-ejecucion-de-gasto-2015,3,3
bcdbd09e-4877-4b12-b04b-9bed09855fc7,presupuesto-y-ejecucion-de-gasto-2016,3,3
9c85ac41-d325-42c6-a7ae-ad85076c4226,presupuesto-y-ejecucion-de-ingreso-2019,3,3
d58c07b1-8d13-463d-97ea-9fd914dc1436,presupuesto-y-ejecucion-de-ingreso-2018,3,3
ca077f33-1611-457c-aab8-4b727b13a798,balance-constructivo-de-gobierno-nacional-regionales-y-locales-2015-2019,2,2
09756de3-67b7-4151-b6bc-0da6715c9800,presupuesto-y-ejecucion-de-gasto-2019,2,2
591ff202-a9d0-4786-a6ee-864aa7fae648,presupuesto-y-ejecucion-de-gasto-2017,2,2
7eb8da54-55b0-433b-94fc-247a5a20a3dd,proceso-de-seleccion-de-inversiones-2007-2021,2,2
63e5d1bc-bbb6-415b-8408-d80d5dbf353b,clasificacion-funcional-del-gasto-2011-2019,2,2
efed0891-3f6b-463d-95bd-3a13902cd9a9,instrumentos-de-deuda-de-corto-plazo-2015-2020,1,1
61605546-7b2f-4ddd-b5e0-c303ac3b4d72,balance-constructivo-de-empresas-del-estado-2015-2019,1,1
27eba082-0ee1-43a3-9605-e2f7619aa4d8,formato-12b-de-de-inversiones-2003-2021,1,1
ca9257d8-c745-4ad8-b3d1-46190d4eb839,prueba-1,1,1
41892cb4-976c-4422-97d8-de88fb340ea1,presupuesto-y-ejecucion-de-gasto-2018,1,1
a68fe8b7-d699-43d6-9ac2-b02dbcbbdac0,distribucion-geografica-del-gasto-2011-2019,1,1
3fef451f-3ccd-4272-b388-52c7005993ac,estado-situacional-de-inversiones-2017-2021,0,0
5a5397ea-dae6-472b-9d50-f63019e2f276,estado-de-ejecucion-del-ingreso-publico-2011-2019,0,0
99e33fa1-3e8c-4096-9ab8-0a64d356347b,estado-de-gestion-2011-2019,0,0
02c53c34-ccf9-45bb-b39f-cd15bf90985f,detalle-de-inversiones-2001-2021,0,0
f9ce4534-bfc9-42d1-bbdb-a587d5bb4d43,aaaaaaa,0,0
db4cc8c3-38ec-4cc2-a52a-d0dac398514c,estado-de-cambios-en-el-patrimonio-neto-2011-2019,0,0
e4c9c8a8-4a82-41d9-b986-c61c496063e4,estado-de-situacion-financiera-2011-2019,0,0
1bc75bf2-577d-45f9-90f4-a90a85940f5b,estado-de-flujo-de-efectivo-2011-2019,0,0
7ab369d4-52ea-450a-b34d-c275df4c7dd5,estado-de-ejecucion-del-gasto-publico-2011-2019,0,0
